uberColorU uberColorG uberColorR uberColorI
1.442516 0.7895527 0.4613914 0.2350273
0.9680519 0.3358727 0.1490536 0.1628761
1.218025 0.6035118 0.3470039 0.2208271
1.147659 0.4437809 0.232769 0.128191
1.279846 0.7155781 0.4162416 0.2729359
1.454144 0.708746 0.392065 0.3098888
1.372545 0.7404118 0.3845291 0.2642231
2.241562 1.0797 0.4414196 0.3557186
1.962078 0.9386635 0.4130039 0.3797894
1.523621 0.821682 0.3744659 0.324789
1.893122 1.010471 0.4329586 0.3791733
1.898651 1.063513 0.4401283 0.3146477
1.290188 0.7173939 0.389061 0.3049335
1.659042 0.87607 0.3676434 0.2506981
1.387211 0.7079029 0.4214592 0.2695942
1.802692 0.8260841 0.4202948 0.3011465
1.441444 0.708498 0.4080486 0.303009
1.811815 0.9645615 0.4226761 0.3328228
1.876425 0.9725132 0.4110155 0.3356447
1.366714 0.8585815 0.4170609 0.3042068
1.883957 1.109915 0.5250816 0.392931
1.83795 1.040359 0.4196625 0.4092903
1.309761 1.009455 0.487112 0.3143349
1.983999 1.121508 0.4416142 0.3007317
2.018827 1.202908 0.4785233 0.3258438
1.510319 0.7070141 0.3984356 0.2608013
1.646521 1.092772 0.4272957 0.3482113
1.60507 0.7800598 0.4628849 0.3533497
1.936863 1.313747 0.4810848 0.3249531
1.813602 0.8495293 0.3898907 0.3226824
1.13434 0.4645462 0.2407818 0.1724911
2.261503 1.320187 0.4811954 0.2750301
1.80727 0.9568501 0.4121323 0.3508282
1.684626 0.8547592 0.4071751 0.3356838
1.632299 1.069925 0.4161034 0.3269386
1.49242 1.176243 0.496006 0.3649073
1.895124 1.137987 0.4261379 0.3482685
2.192408 1.019445 0.3794832 0.3670769
1.068331 0.5957413 0.3544121 0.2365618
1.719509 0.9464817 0.4537277 0.2628002
1.401482 0.6828461 0.3935089 0.2387867
1.730186 1.102472 0.460228 0.357338
1.105762 0.3352032 0.2657642 0.09840584
1.213835 0.4833698 0.2864571 0.1814709
2.236694 1.192715 0.4722652 0.3514366
1.241472 0.5854645 0.3964291 0.2447824
2.112761 1.160774 0.5084324 0.3514328
2.111486 0.9823303 0.4408016 0.3592529
1.963305 0.9281063 0.4309616 0.3113461
2.107052 1.310648 0.4757347 0.3603325
0.9964237 0.3712749 0.3148136 0.1115761
1.004885 0.3605862 0.2145233 0.2271423
1.899067 0.9507866 0.4481792 0.2171326
1.178278 0.5527077 0.3168869 0.2482262
2.003366 0.9947491 0.4428711 0.3534794
1.381632 0.6264858 0.3816509 0.2348557
1.495665 0.6484509 0.3029346 0.2165899
1.967129 0.9208889 0.4031391 0.3223133
1.749428 0.9683418 0.3975754 0.3139343
1.794836 0.9793739 0.3797417 0.3236237
1.272465 0.4803963 0.3018169 0.1663618
