uberColorU uberColorG uberColorR uberColorI
1.809887 0.8587112 0.3878822 0.2888756
1.699696 0.8384304 0.3816586 0.2767906
1.894005 0.9620113 0.4252987 0.3215961
1.755468 0.9172077 0.4263916 0.323535
1.266096 0.5971718 0.3483105 0.2362785
1.871281 1.012941 0.3991661 0.3519802
1.920271 0.7987385 0.363308 0.2610645
0.9259815 0.3193798 0.2102547 0.06222153
1.106483 0.594305 0.3463001 0.1669483
1.052128 0.3800716 0.286623 0.09298515
1.370934 0.6481876 0.3426924 0.3110743
1.824165 0.937645 0.3661118 0.2391968
1.871994 0.8714619 0.3934193 0.3195724
1.809109 0.924242 0.3687439 0.3788395
1.202765 0.3209 0.2572536 0.1195202
0.8934135 0.2733974 0.1520615 0.1591415
1.45244 0.7571526 0.4579964 0.2626534
1.341251 0.8143692 0.4210091 0.2748089
1.702433 0.805357 0.3666725 0.3055067
1.717646 0.9093857 0.3656597 0.3041916
1.579223 0.7688494 0.4031591 0.3025732
0.9466209 0.2724018 0.2409649 -0.02930069
1.347147 0.6258144 0.3812885 0.2504749
1.685261 0.7960491 0.3631096 0.2545395
1.38803 0.5945759 0.3514709 0.2697716
1.042503 0.5115967 0.2998676 0.1257839
1.990389 0.8773155 0.3845959 0.2894897
1.506323 0.6771402 0.3576345 0.2354422
1.698114 0.900629 0.4178028 0.317749
1.350601 0.7599163 0.4056587 0.2523346
1.264925 0.5617485 0.3269882 0.1663628
1.591576 0.6951962 0.3242779 0.249567
1.95746 0.9056664 0.449316 0.3314514
1.890289 1.041239 0.4223137 0.3807945
1.862 0.8709221 0.4017572 0.3091373
1.293741 0.6982689 0.4067478 0.2849808
1.185537 0.6075535 0.2657433 0.2971725
1.54619 0.7931023 0.4115753 0.3478251
1.218014 0.5419331 0.3220062 0.2072296
1.574738 0.8752441 0.5041733 0.3081532
1.806555 0.9063625 0.4473515 0.3242645
1.964104 1.066715 0.4993668 0.3990364
1.244287 0.6610165 0.3691826 0.2574043
1.60412 0.7483854 0.3706379 0.2865524
1.791693 0.9449501 0.3658409 0.2205753
1.387793 0.5992165 0.3399487 0.1985016
0.9819241 0.4547939 0.3807869 0.09068298
1.896339 1.266027 0.4858665 0.3266888
1.537054 0.8611946 0.4671021 0.272747
2.073151 1.068821 0.4377346 0.3633223
1.634233 0.9394531 0.3920393 0.3599081
1.482862 0.731699 0.3857565 0.2635098
1.113453 0.4511642 0.3441486 0.1304359
1.090191 0.6660767 0.2900372 0.2655258
1.110044 0.3769207 0.2341366 0.1511459
2.097427 0.9498577 0.409317 0.3745174
1.716951 0.8611355 0.3727074 0.2763901
1.763905 0.7078094 0.3314915 0.27491
1.759794 1.221254 0.4957695 0.4058952
0.9968624 0.707201 0.3605099 0.2580395
2.016273 0.9759254 0.4028244 0.3894787
1.745359 0.733181 0.333046 0.2940311
1.543621 0.8298225 0.4519768 0.376833
2.105751 0.8756618 0.3976383 0.294343
1.698812 0.9037132 0.4190121 0.307106
1.850122 0.9056358 0.4210091 0.3048401
1.908363 1.073565 0.4359226 0.3401871
1.910984 0.8875561 0.3849411 0.2961349
1.09726 0.5355778 0.3025665 0.1634293
1.626497 0.79809 0.443572 0.351264
1.745361 0.8684807 0.3881416 0.3210354
1.384659 0.393259 0.215456 0.05497932
1.572893 0.5364437 0.2841358 -0.1467876
1.676699 0.8703442 0.4363136 0.3050861
1.594225 0.6610012 0.3693352 0.2733698
1.28668 0.795536 0.4249821 0.2605019
2.065859 0.9887428 0.446476 0.3346214
2.058659 1.189451 0.4875278 0.3429756
1.967768 0.9906616 0.4630985 0.3632011
1.33433 0.8940258 0.4190464 0.2506523
1.042274 0.4265041 0.2837162 0.1330624
1.342718 0.8744831 0.408371 0.2269688
2.027531 1.091724 0.4403343 0.3580723
1.695223 0.7654495 0.3444977 0.2150097
1.855944 0.98559 0.426239 0.3096657
2.073278 1.063467 0.4952583 0.395546
1.573191 0.7985325 0.4058704 0.2846317
